U+2F898	𦇚	⿱彑⿰&C6-3360;&AJ1-02761;
U+2F899	形	⿰幵彡
U+2F89A	彫	⿰周彡
U+2F89B	㣣	⿰彳㚒
U+2F89C	徚	⿰彳東
U+2F89D	忍	⿱刃心
U+2F89E	志	⿱&CDP-8BF1;心
U+2F89F	忹	⿰忄王
U+2F8A0	&C6-3136;	⿰忄䏍
U+2F8A1	㤺	⿰忄&GT-10950;
U+2F8A2	㤜	⿰忄戌
U+2F8A3	悔	⿰忄毎
U+2F8A4	𢛔	⿰忄柬
U+2F8A5	惇	⿰忄⿳&AJ1-04110;&CDP-89CC;子
U+2F8A6	慈	⿱&MJ021826;心
U+2F8A7	&U+2F8A7;	⿰忄⿱⺾&C3-235B;
U+2F8A8	慎	⿰忄&MJ018173;
U+2F8A9	&U+2F8A9;	⿰忄⿱⺾&AJ1-17246;
U+2F8AA	&U+2F8AA;	慺
U+2F8AB	憎	⿰忄曽
U+2F8AC	憲	⿱&HZK12-ECD1;心
U+2F8AD	憤	⿰忄賁
U+2F8AE	憯	⿰忄⿱&MJ007239;日
U+2F8AF	懞	⿰忄⿱&CDP-85F0;冡
U+2F8B0	懲	⿱&AJ1-03011;心
U+2F8B1	懶	⿰忄頼
U+2F8B2	成	⿵戊丁
U+2F8B3	&C6-4023;	⿱&CDP-8DE0;戈
U+2F8B4	扝	⿰扌亐
U+2F8B5	抱	⿰扌包
U+2F8B6	拔	⿰扌&AJ1-18056;
U+2F8B7	&C6-314F;	⿰扌䏍
U+2F8B8	𢬌	⿰扌⿱丿&AJ1-18056;
U+2F8B9	挽	⿰扌免
U+2F8BA	拼	⿰扌幷
U+2F8BB	捨	⿰扌舎
U+2F8BC	掃	⿰扌⿳&AJ1-14521;冖巾
U+2F8BD	揤	⿰扌&AJ1-13365;
U+2F8BE	𢯱	⿰扌&C3-2B4E;
U+2F8BF	搢	⿰扌晋
U+2F8C0	揅	⿱&AJ1-13342;手
U+2F8C1	掩	⿰扌𡘹
U+2F8C2	㨮	⿰扌⿱⿲&CDP-8CBD;白&CDP-8C78;几
U+2F8C3	摩	⿸&AJ1-03729;手
U+2F8C4	摾	⿰扌强
U+2F8C5	撝	⿰扌&AJ1-05603;
U+2F8C6	摷	⿰扌巢
U+2F8C7	㩬	⿰扌&AJ1-01620;
U+2F8C8	敏	⿰毎攵
U+2F8C9	敬	⿰&MJ021663;攵
U+2F8CA	𣀊	⿰亷攵
U+2F8CB	旣	&AJ1-13701;
U+2F8CC	書	書
U+2F8CD	晉	⿳一&CDP-8D6B;日
U+2F8CE	㬙	⿰日為
U+2F8CF	暑	⿱日者
U+2F8D0	㬈	⿰日𥁕
U+2F8D1	㫤	⿱日永
U+2F8D2	冒	⿱日目
U+2F8D3	冕	⿱日&MJ007230;
U+2F8D4	&MJ013506;	⿱日取
U+2F8D5	暜	⿱竝曰
U+2F8D6	&M-14342;	⿰&MJ013520;內
U+2F8D7	䏙	⿰&MJ013520;冘
U+2F8D8	朗	⿰良&MJ013520;
U+2F8D9	望	⿱⿰&MJ006463;&MJ013520;王
U+2F8DA	朡	⿰&MJ013520;㚇
U+2F8DB	杞	⿰木已
U+2F8DC	杓	⿰木⿹勹一
U+2F8DD	𣏃	⿻木&AJ1-14521;
U+2F8DE	㭉	⿱卝木
U+2F8DF	柺	⿰木另
U+2F8E0	枅	⿰木幵
U+2F8E1	桒	⿱𠦄木
U+2F8E2	梅	⿰木毎
U+2F8E3	𣑭	⿰木𠕋
U+2F8E4	梎	⿰木⿱白匕
U+2F8E5	&MJ013844;	⿰木幷
U+2F8E6	椔	⿰木甾
U+2F8E7	&C5-3F71;	⿰木&AJ1-04319;
U+2F8E8	楂	⿰木査
U+2F8E9	榣	⿰木&JX2-7461;
U+2F8EA	槪	⿰木&AJ1-13701;
U+2F8EB	檨	⿰木&AJ1-08598;
U+2F8EC	𣚣	⿰木異
U+2F8ED	櫛	⿰木⿱竹&AJ1-13365;
U+2F8EE	&C7-5823;	⿰木⿳&AJ1-14521;⿰米糸&MJ011120;
U+2F8EF	次	⿰冫欠
U+2F8F0	&U+2F8F0;	⿰臾欠
U+2F8F1	歔	⿰&AJ1-01679;欠
U+2F8F2	㱎	⿰⿱⿱罒水魚欠
U+2F8F3	歲	⿱止𫀄
U+2F8F4	殟	⿰歹昷
U+2F8F5	殺	⿰杀&MJ014908;
U+2F8F6	殻	⿺&AJ1-17466;&MJ014908;
U+2F8F7	&C6-4A4D;	⿰&C5-256C;&MJ014908;
U+2F8F8	𡴋	⿱屮母
U+2F8F9	𣫺	⿰每⿱&MJ031960;⺼
U+2F8FA	汎	⿰氵𠁽
U+2F8FB	𣲼	⿰氵⿻冖九
U+2F8FC	沿	⿰氵⿱几口
U+2F8FD	&C6-2C51;	⿰氵𠥽
U+2F8FE	汧	⿰氵幵
U+2F8FF	&U+2F8FF;	⿰氵吳
U+2F900	派	&MJ015325;
U+2F901	海	⿰氵毎
U+2F902	流	⿰氵⿳&AJ1-04110;厶𫶧
U+2F903	浩	⿰氵吿
U+2F904	浸	⿰氵⿳&AJ1-14521;冖又
U+2F905	涅	⿰氵⿱日工
U+2F906	𣴞	𣴞
U+2F907	洴	⿰氵幷
U+2F908	港	⿰氵⿱共己
U+2F909	湮	⿰氵⿱覀土
U+2F90A	㴳	⿰氵⿰土&MJ010310;
U+2F90B	&o-IU+2F90B;	⿰氵&MJ021826;
U+2F90C	滇	⿰氵&MJ018170;
U+2F90D	𣻑	⿰氵⿰杀&MJ014908;
U+2F90E	淹	⿰氵𡘹
U+2F90F	潮	⿰氵&MJ013558;
U+2F910	𣽞	⿰氵⿱日⿱⿺夂卜口
U+2F911	𣾎	⿰氵⿳⿻丂叹一灬
U+2F912	濆	⿰氵賁
U+2F913	瀹	⿰氵⿳亼罒𠕁
U+2F914	瀞	⿰氵&AJ1-02665;
U+2F915	瀛	⿰氵𡣍
U+2F916	㶖	⿰氵⿰&CDP-8B7A;⿱夂黑
U+2F917	灊	⿰氵⿱⿰旡旡&AJ1-07300;
U+2F918	&C6-2C60;	⿱𡿧火
U+2F919	灷	⿱火廾
U+2F91A	炭	⿱山⿸𠂇火
U+2F91B	𠔥	⿳&GT-39641;&CDP-88BB;灬
U+2F91C	煅	煅
U+2F91D	𤉣	⿰火甾
U+2F91E	熜	⿰火&AJ1-14542;
U+2F91F	𤎫	⿳炎共人
U+2F920	爨	⿳⿱⿴𦥑同冖林𤆍
U+2F921	爵	&MJ016747;
U+2F922	牐	⿰片&CDP-8A48;
U+2F923	&U+2F923;	⿱牙𦥑
U+2F924	犀	⿸尸⿱水牛
U+2F925	&C6-5E5E;	&C2-4B6E;
U+2F926	&C6-3262;	⿰犭幵
U+2F927	𤠔	⿰犭貟
U+2F928	獺	⿰犭頼
U+2F929	&M-49299;	王
U+2F92A	㺬	⿰王&AJ1-03724;
U+2F92B	玥	⿰王⺼
U+2F92C	㺸	⿱⿰亻&AJ1-17330;王
U+2F92D	㺸	⿱⿰亻&AJ1-17330;玉
U+2F92E	瑇	⿰王⿱龶&AJ1-05368;
U+2F92F	瑜	⿰王&AJ1-04216;
