U+2B7AA	𫞪	⿱甘⿷&AJ1-04307;㐅
U+2B7AB	𫞫	⿱田衣
U+2B7AC	𫞬	⿸疒圣
U+2B7AD	𫞭	⿸疒財
U+2B7AE	𫞮	⿰白句
U+2B7AF	𫞯	⿱⿻乃丶皿
U+2B7B0	𫞰	⿱⿵乃㐅皿
U+2B7B1	𫞱	⿱坮皿
U+2B7B2	𫞲	⿳匕目大
U+2B7B3	𫞳	⿰目夅
U+2B7B4	𫞴	⿱⿰夕&CDP-88D5;示
U+2B7B5	𫞵	⿰礻冝
U+2B7B6	𫞶	⿰礻無
U+2B7B7	𫞷	⿰禾会
U+2B7B8	𫞸	⿰禾東
U+2B7B9	𫞹	⿱穴&CDP-8BC8;
U+2B7BA	𫞺	⿱穴⿰&AJ1-02115;&AJ1-04376;
U+2B7BB	𫞻	⿰立丁
U+2B7BC	𫞼	⿰立在
U+2B7BD	𫞽	⿱竹⿱𠀎𧘇
U+2B7BE	𫞾	⿱竹毘
U+2B7BF	𫞿	⿳竹⿰冫刃木
U+2B7C0	𫟀	⿰米雪
U+2B7C1	𫟁	⿲糸&CDP-8C7A;&MJ014908;
U+2B7C2	𫟂	⿰糸&MJ010199;
U+2B7C3	𫟃	⿰纟&AJ1-03290;
U+2B7C4	𫟄	⿰纟宏
U+2B7C5	𫟅	⿰纟京
U+2B7C6	𫟆	⿰纟重
U+2B7C7	𫟇	⿰纟&MJ011058;
U+2B7C8	𫟈	⿱𦍌⿻𠆢丷
U+2B7C9	𫟉	⿰耳厶
U+2B7CA	𫟊	⿰&MJ013520;席
U+2B7CB	𫟋	⿳⿴𦥑&MJ006310;一八
U+2B7CC	𫟌	⿱⺾&AJ1-01422;
U+2B7CD	𫟍	⿱⺾𡖅
U+2B7CE	𫟎	⿱⺾&MJ030427;
U+2B7CF	𫟏	⿱⺾&MJ007231;
U+2B7D0	𫟐	⿱⺾㝑
U+2B7D1	𫟑	⿱⺾&AJ1-16955;
U+2B7D2	𫟒	⿱⺾⿱&AJ1-04311;木	⿱⺾⿻廿木
U+2B7D3	𫟓	⿳⺾𠆢⿱&GT-25225;口
U+2B7D4	𫟔	⿱⺾&C3-3165;
U+2B7D5	𫟕	⿱⺾郸
U+2B7D6	𫟖	⿱⺾⿵⿰&C6-2124;戈臣
U+2B7D7	𫟗	⿰虫察
U+2B7D8	𫟘	⿲彳⿱𫝀吊亍
U+2B7D9	𫟙	⿲彳⿱吾帀亍
U+2B7DA	𫟚	⿱重𧘇
U+2B7DB	𫟛	⿱覀&CDP-8BD9;
U+2B7DC	𫟜	⿰⿳⺾𫩏隹見
U+2B7DD	𫟝	⿰言⿳&AJ1-04110;𫩏⿳井一𧘇
U+2B7DE	𫟞	⿰讠止
U+2B7DF	𫟟	⿰讠&MJ007844;
U+2B7E0	𫟠	⿰讠单
U+2B7E1	𫟡	⿰讠宗
U+2B7E2	𫟢	⿰讠贾
U+2B7E3	𫟣	⿰𧾷喪
U+2B7E4	𫟤	⿰车它
U+2B7E5	𫟥	⿰车&MJ018173;
U+2B7E6	𫟦	⿰车&MJ026015;
U+2B7E7	𫟧	⿺⻍丁
U+2B7E8	𫟨	⿺⻍⿱土衣
U+2B7E9	𫟩	⿺⻍&MJ010798;
U+2B7EA	𫟪	⿺⻍⿳白宀&MJ000320;
U+2B7EB	𫟫	⿰厉⻏
U+2B7EC	𫟬	⿰质⻏
U+2B7ED	𫟭	⿰客⻏
U+2B7EE	𫟮	⿰酉丟
U+2B7EF	𫟯	⿱&AJ1-04110;里
U+2B7F0	𫟰	⿰金当
U+2B7F1	𫟱	⿰金⿱士⿻日寸
U+2B7F2	𫟲	⿰钅九
U+2B7F3	𫟳	⿰钅巳
U+2B7F4	𫟴	⿰钅分
U+2B7F5	𫟵	⿰钅允
U+2B7F6	𫟶	⿰钅册
U+2B7F7	𫟷	⿰钅立
U+2B7F8	𫟸	⿰钅式
U+2B7F9	𫟹	⿰钅共
U+2B7FA	𫟺	⿰钅亥
U+2B7FB	𫟻	⿰钅&AJ1-02349;
U+2B7FC	𫟼	⿰钅&JSP-6136;
U+2B7FD	𫟽	⿰钅乖
U+2B7FE	𫟾	⿰钅㚅
U+2B7FF	𫟿	⿰钅&AJ1-02089;
U+2B800	𫠀	⿰钅厝
U+2B801	𫠁	⿰钅蓋
U+2B802	𫠂	⿵门令
U+2B803	𫠃	⿰⻖显
U+2B804	𫠄	⿰韋亥
U+2B805	𫠅	⿰韦革
U+2B806	𫠆	⿰&AJ1-02215;页
U+2B807	𫠇	⿺风文
U+2B808	𫠈	⿺风必
U+2B809	𫠉	⿹&CDP-896A;一
U+2B80A	𫠊	⿰马玄
U+2B80B	𫠋	⿰马鹿
U+2B80C	𫠌	⿰马&AJ1-04270;
U+2B80D	𫠍	⿰魚針
U+2B80E	𫠎	⿰魚賈
U+2B80F	𫠏	⿰鱼木
U+2B810	𫠐	⿰鱼甘
